content,category,,,Legal Document
"A natural person may be a citizen of Australia or a non-citizen. In the case of a natural person who is a citizen, there is no definition in the Act of 'resident' or 'ordinarily'. There are a large number of cases which have examined the meaning of those words in various statutory contexts. It seems that the words are not terms of art and the question is one of fact and degree and that a person may have two places of residence: Re Vassis; Ex parte Leung (1986) 9 FCR 518 at 524-525 per Burchett J; Re Taylor; Ex parte Natwest Australia Bank Limited (1992) 37 FCR 194 at 197 per Lockhart J. The particular problem of a person possibly being ordinarily resident in two places does not arise here because the criterion in s 4(6) is 'not ordinarily in Australia'.",Legal Documents,,,
"I also agree with the respondent's second submission that in any event the degree of impairment of the applicant's rights with respect to the property is insufficient to attract the operation of s 51(xxxi). In Waterhouse v Minister for the Arts and Territories (1992) 43 FCR 175 the power of a Minister to grant or withhold a permit for an object to be exported to a purchaser under the Protection of Movable Cultural Heritage Act 1986 (Cth) was held to be an insufficient impairment of the rights of the owner of a valuable Australian painting to attract the operation of s 51(xxxi) (see the discussion of Black CJ and Gummow J at 180-185; Smith v ANL Ltd [2000] HCA 58 ; (2000) 204 CLR 493 per Gaudron and Gummow JJ at 505 [23]). In my opinion, similar reasoning can be applied here. The applicant is required to sell the property, but the class to whom she cannot sell the property is very limited (s 21A(7)).",Legal Documents,,,
"Mr Spencer submitted that he had sought on a number of occasions to suggest a reasonable basis upon which this proceeding could be settled, and that the ACCC had acted unreasonably in refusing to engage with him. He referred to Australian Securities Commission v Aust-Home Investments Limited (1993) 44 FCR 194 at 201 where Hill J summarised the principles that would ordinarily apply with regard to costs when a proceeding has not gone to trial. His Honour said: ""These cases seem to me support the following propositions being made. (1) Where neither party desires to proceed with litigation the Court should be ready to facilitate the conclusion of the proceedings by making a cost order: Stratford [ J T Stratford &amp; Son Ltd v Lindley (No 2) [1969] 1 WLR 1547] and the SEQEB case [ South East Queensland Electricity Board v Australian Telecommunications Commission (unreported, Federal Court, 10 February 1989, Pincus J)] . (2) It will rarely, if ever, be appropriate, where there has been no trial on the merits or, for a Court determining how the costs of the proceeding should be borne to endeavour to determine the outcome of a hypothetical trial: Stratford . This will particularly be the case where a trial on the merits would involve complex factual matters where credit could be an issue. (3) In determining the question of costs it would be appropriate, however, for the Court to determine whether the applicant acted reasonably in commencing the proceedings and whether the respondent acted reasonably in defending them ( SEQEB ). (4) In a particular case it might be appropriate for the Court in its discretion to consider the conduct of a respondent prior to the commencement of the proceedings where such conduct may have precipitated the litigation: cf Sunday Times Newspaper Co Ltd v McIntosh (1933) 33 SR (NSW) 371. (5) Where the proceedings terminate after interlocutory relief has been granted, the Court may take into account the fact that interlocutory relief has been granted: cf Re Asiatic Electric Co Pty Ltd [1973] 1 NSWLR 603 at 606, a case which, however, depended upon the specific working of the statute under consideration.""",Legal Documents,,,
"Claims must be determined in a practical and common sense manner: Nesbit v Impro at 95; Minnesota Mining at 274. In Cleveland Graphite Bronze Co v Glacier Metal Co Ltd (1950) 67 RPC 149 at 154 it was said that the claims must be as precise ""as the subject admits of"". The fact that Dr Stark had no problems on first reading is of significance. It is not the role of an independent expert to seek out difficulties or to read a patent with, to borrow an expression from administrative law, ""an eye keenly attuned to the perception of error"": Collector of Customs v Pozzolanic Enterprises Pty Ltd [1993] FCA 322 ; (1993) 43 FCR 280 at 287 quoted in Minister for Immigration and Ethnic Affairs v Wu Shan Liang [1996] HCA 6 ; (1996) 185 CLR 259 at 272. This episode reflects on Dr Stark's credibility as an independent expert. Generally I found Dr Stark lacked objectivity and detachment. He appeared keen to raise every conceivable argument in favour of the party which retained him.",Legal Documents,,,
Co v Commissioner of Patents [1971] HCA 3,Legal Documents,,,
"The principles are stated by Gummow J in Wanem Pty Ltd v John Tekiela [1990] FCA 372 ; (1990) 19 IPR 435 at 440, cited with approval by the Full Court in Foggin v Lacey (2003) 57 IPR 225 at [13]. Gummow J said: ...(i) first impressions are important in determining whether there is an infringement of a design, (ii) an obvious imitation is one which is not the same as the registered design but is a copy apparent to the eye notwithstanding slight differences, (iii) the question must be looked at as one of substance and by examining the essential features of the design, (iv) a closer correspondence between the registered design and the alleged infringing design is necessary to satisfy the test of obvious imitation than that of fraudulent imitation, (v) precise mathematical comparisons or matters of measurements or ratios, which form no part of the mental picture which the eye conveys to the brain of shape or configuration suggested by the design, are not to be applied as the test of infringement; appearance to the eye is the critical issue, and (vi) questions of infringement must not be determined by a narrow or overly technical approach in comparison between the design and the alleged infringement, lest the registration be sapped of its worth to the registered owner. 116 As the Full Court in Foggin noted, it is for the Court to rule on the meaning of the design and question of infringement as determined by reference to the eye of the consumer. 117 My first, and continuing, impression is that product B is significantly different in appearance from the Design. In particular the shank is quite different. What is in issue here is an everyday product. To the lay person this looks like a saw, obviously not a hand saw but one with some attachment in the shape of the shank. I regard this as more important than differences in angles and proportions. Put simply, the Design shows a saw blade with a shank; product B is a saw with a different sort of shank. 118 As might be expected experts on either side gave differing views. Professor Redmond thought that the dominant aspect of the Design was the blade and that product B was ""closely similar, such that it has the same appeal to the eye as the design in the (Design)"". He saw the shank as an ""attachment device"" but the saw blade was the ""core or crucial visual element"". The shank was ""peripheral"" or ""of less significance"". Nevertheless I think the ordinary consumer would see a panel saw blade as a piece of metal with teeth along the bottom and a sloping top. The shank is at one end, and thus is in a literal sense peripheral, but it is, and would be seen as, an integral and distinctive part of the article.",Legal Documents,,,
Rubber Co v Firestone Tyre and Rubber Co Ltd [1972] RPC 457,Legal Documents,,,
"Much of this argument overlapped with GMCA's case on description, utility, novelty and obviousness. To the extent that it did not, it must be rejected. The alleged invention did not involve an abstract idea, like that considered in Grant v Commissioner of Patents (2006) 69 IPR 221. It concerned machines and their operation and thus ""something of a corporeal and substantial nature"": R v Wheeler (1819) 2 B &amp; Ald 345 at 350, cited in Lockwood Security Products Pty Ltd v Doric Products Pty Ltd (No 2) [2007] HCA 21 ; (2007) 72 IPR 447 at [66] ( Lockwood 2 ).",Legal Documents,,,
Manufacturing Co v Beiersdorf (Aust) Ltd [1980] HCA 9,Legal Documents,,,
"Claims must be construed in a practical, common sense manner, and are valid so long as they provide a workable standard suitable to the intended use: Minnesota Mining &amp; Manufacturing Co v Beiersdorf (Aust) Ltd [1980] HCA 9 ; (1980) 144 CLR 253 at 273; Nesbit Evans Group Australia Pty Ltd v Impro Ltd (1997) 39 IPR 56 at 95. 78 Claims must be determined in a practical and common sense manner: Nesbit v Impro at 95; Minnesota Mining at 274. In Cleveland Graphite Bronze Co v Glacier Metal Co Ltd (1950) 67 RPC 149 at 154 it was said that the claims must be as precise ""as the subject admits of"". The fact that Dr Stark had no problems on first reading is of significance. It is not the role of an independent expert to seek out difficulties or to read a patent with, to borrow an expression from administrative law, ""an eye keenly attuned to the perception of error"": Collector of Customs v Pozzolanic Enterprises Pty Ltd [1993] FCA 322 ; (1993) 43 FCR 280 at 287 quoted in Minister for Immigration and Ethnic Affairs v Wu Shan Liang [1996] HCA 6 ; (1996) 185 CLR 259 at 272. This episode reflects on Dr Stark's credibility as an independent expert. Generally I found Dr Stark lacked objectivity and detachment. He appeared keen to raise every conceivable argument in favour of the party which retained him.",Legal Documents,,,
"It is not in dispute that GMCA has offered for sale and sold in Australia two allegedly infringing products, referred to in this case as T1 and T2. Black &amp; Decker has to show that the GMCA products take each and every essential integer of the claims relied on (claims 1 and 3 to 8 of the Standard Patent): Nicaro Holdings Pty ltd v Martin Engineering Co (1990) 16 IPR 545 at 559-560. 73 A photograph of T1: 74 The only integers in contest are those designated 1.8 and 1.9 in claim 1 of the Patent. Integer 1.8 it will be recalled is as follows (emphasis added): and wherein the handle is positioned such that a force applied thereto by the user in a first of the said plurality of positions comprises a major vector transmitted along a line of action extending substantially parallel to the line of linear reciprocation. Integer 1.9 is in the same terms save only that the word ""parallel"" is replaced by the word ""transverse"". These integers obviously relate to the operation of the device in its panel saw (integer 1.8) and jigsaw (integer 1.9) modes.",Legal Documents,,,
"However, statutory rights to damages or an account of profits conferred on owners or exclusive licensees of intellectual property only have effect for the period that a plaintiff in fact has the relevant status. Thus in Colbeam Palmer Ltd v Stock Affiliates Pty Ltd [1968] HCA 50 ; (1968) 122 CLR 25 Windeyer J held (at 36) that an account of profits should be taken to terminate as at the date the plaintiff assigned the trade mark in question and (at 41) that the assignee, having been joined as a plaintiff, should be entitled to an account of profits from the date of assignment. Similarly in Stack v Brisbane City Council (1996) 35 IPR 296 at 302 Drummond J held that where an equitable title had been converted into legal title by assignment, the assignor would have the right to an account of profits made by the infringers in the period up to the assignment and that the assignee alone would have the right to any profits made by the infringers after that date. Likewise, if an election were made for damages the assignee is the proper claimant for that relief, but only as from the date its equitable ownership became converted by registration into full legal and beneficial ownership of the patent.",Legal Documents,,,
"ACCC then made the following submissions as to the general principles against which the motion should be determined: (1) The power to make the direction is conferred by s 47A(1) of the Act. That subsection provides: The Court or a Judge may, for the purpose of any proceeding, direct or allow testimony to be given by videolink, audiolink or other appropriate means. (2) Section 47C provides: (1) The Court or a Judge must not exercise the power conferred by subsection 47A(1) or section 47B in relation to a video link unless the Court or the Judge is satisfied that the following conditions are met in relation to the video link: ... (b) the place at which the remote person is located is equipped with facilities (for example, television monitors) that enable all eligible persons present in that place to see and hear each eligible person who is present in the courtroom or other place where the Court or the Judge is sitting; ... (6) For the purposes of the application of this section to a particular proceeding, eligible persons are such persons as the Court or a Judge considers should be treated as eligible persons for the purposes of that proceeding. (Emphasis in original) (3) The discretion in s 47A is to be exercised judicially. (4) It is to be exercised recognising 'that there are deficiencies when evidence is taken by videolink when compared with evidence given viva voce' per Spender J in Australian Competition and Consumer Commission v World Netsafe (No. 1) [2002] FCA 526 ; (2002) 119 FCR 303 at 305. His Honour continued by quoting from Giles CJ of the Commercial Division of the Supreme Court of New South Wales, in Sunstate Airlines (Qld) Pty Ltd v First Chicago Australia Securities Ltd (unreported, NSWSC, 11 March 1997) at [4]: Cross-examination may be more difficult when video evidence is taken because documents have to be transmitted or produced in an unfamiliar manner, because of the delay in voice transmission, or for other reasons and the effectiveness of cross-examination as a weapon in the fight for truth should not be unduly hindered. And in many cases the court is assisted in fact by observance of what is misleadingly called the demeanour of the witnesses upon which the taking of video evidence may impact. Those observations of Spender J were cited with approval by a Full Court of this Court in Odhiambo v Minister for Immigration &amp; Multicultural Affairs [2002] FCAFC 194 ; (2002) 122 FCR 29 at [97] . I agree with these observations. They illustrate the point that the choice in every case cannot be determined solely by reference to general principles because it is the application of those principles to the facts and circumstances of the particular case which must determine the choice; in the circumstances of a particular case, a matter may point one way and in another case it may point another way. At the end of the day, the exercise of the discretion as to what is appropriate in a particular case will involve a balancing exercise as to what will best serve the administration of justice consistently with maintaining justice between the parties: see Giles CJ in Sunstate Airlines at [4]. The Present Case In the present case, I have come to the conclusion that I should decline to make the direction for the following primary reasons: (1) There is no evidence before me that the Cooling Off Witnesses are not prepared to come to Sydney for the hearing or, through illness or otherwise, are unable to come. I accept that they are not compellable, but 9 of the 12 are still employees of StoresOnline and as StoresOnline will be bearing the cost of all travel and accommodation for all Cooling Off Witnesses, there is no financial disincentive for them in coming. References to their losing commission income while travelling and during their short stay here carries little weight, if any, particularly as it could no doubt be adjusted in their favour, by StoresOnline treating it as a 'one week off', in the 'two weeks on'/'one week off' arrangement for Sales Staff deposed to by Mr Klotz. (2) In my view, the overall savings in cost, by taking the evidence of the Cooling Off Witnesses by video-link rather than having them come here to give their evidence viva voce , will be at best marginal and at worst more expensive. The savings deposed to by Mr Klotz are, in the scheme of things, not significant and do not take into account all the costs associated with and all the costs which will arise as a result of, recourse to a video-link. It will, as submitted by the ACCC, require the ACCC to have an agent or agents at the remote location or locations to assist in the identification of documents during the course of cross-examination; it will undoubtedly lengthen the time it takes to complete the cross-examination of the Cooling Off Witnesses each day will at best be a half day due to time zone differences with attendant increase in the costs incurred for the additional time of counsel and instructing solicitors; and it would be common ground that these latter costs would quickly absorb and overtake any savings as between travel and accommodation costs on the one hand and the direct cost of utilising videoconference facilities on the other. (3) Clearly there are issues of credit involved as between the evidence in chief embodied in the affidavits of the Cooling Off Witnesses and the evidence in chief embodied in the affidavits of the ACCC's witnesses who purchased StoresOnline packages at the relevant Workshops in Australia going to the factual issue of whether or not the purchasers of such packages were told, at any time up to and including the point of sale, about the 'cooling off period'. In my view, it is in the interests of maintenance of justice between the parties that that evidence, from both sides, be given in person. (4) It is also clear that the cross-examination of the Cooling Off Witnesses will go beyond their evidence in relation to the 'cooling off period' issue. They will also be cross-examined in relation to other allegations of breaches contained in the statement of claim, as well as on the systems and procedures in place with a view to ensuring compliance with the Undertaking. So understood, their evidence is, contrary to the submission of StoresOnline, centrally important to the outcome of the case. (5) The anticipated size of the Court Book suggests that the Cooling Off Witnesses will be taken to a large number of documents in the course of their cross-examination. I accept that the management of such a task can be effectively handled whilst utilising videoconference facilities albeit, as mentioned above, at an additional significant cost. At one level then, this consideration is central. But where, as here, issues of credit are involved, it impels a conclusion in favour of the evidence being given in person. There are other matters which I have weighed into the balancing exercise in reaching the conclusion I have, in addition to the primary matters referred to in [15] above. On their own, they are not critical. However, as part of the balancing exercise they are, in my view, relevant; for example, the Cooling Off Witnesses are all people who regularly travel, both domestically and internationally, for or on behalf of StoresOnline. While having them travel from the United States to Australia and return will involve them in some 15 hours of travel each way within a relatively short timeframe, this is something to which they are accustomed in the course of their duties. It could not be seen as imposing on them an unusual personal or physical burden. The motion must be dismissed with costs. I certify that the preceding seventeen (17) numbered paragraphs are a true copy of the Reasons for Judgment herein of the Honourable Justice Edmonds. Associate: Dated: 6 July 2009 Counsel for the Applicant: Mr S White SC with Mr T Brennan Solicitor for the Applicant: Corrs Chambers Westgarth Counsel for the Respondents: Mr D Fagan SC with Mr E Hyde Solicitor for the Respondents: Deacons Date of Hearing: 24 June 2009 Date of Judgment: 6 July 2009 AustLII: Copyright Policy | Disclaimers | Privacy Policy | Feedback URL: http://www.austlii.edu.au/au/cases/cth/FCA/2009/717.html",Legal Documents,,,
"No stay is sought if the first and third applicants fail to provide the security. Rather, if I were to order that security be provided, the applicants contend that the notice of motion should be adjourned to the day after the security is required to be provided, or later in the day upon which the security is required to allow the respondents to make further submissions regarding any further orders, which may be appropriate if that security is not provided. SUBMISSIONS OF THE APPLICANTS 8 In response, Mr Perry on behalf of the applicants has submitted, in essence: 1. Neither the first nor the third applicant has sufficient assets to meet any potential costs order, nor are they able to satisfy any order for security for costs. Accordingly the threshold for the making of an order has been established consistently with the decision of the Full Court in these proceedings. 2. However the question before the Court is whether the Court should exercise its discretion in this matter, and the key issue in relation to the exercise of discretion is the delay in serving the notice of motion for the security for costs on the applicants. In particular: (a) the notice was served on Friday 3 November 2006, and no notice had been given previously as to an intention to bring such an application (b) the impact of the delay is to be considered in a relative way, that is by considering its potential impact upon the hearing itself (c) if an order is to be made it cannot be satisfied by 4.00 pm Friday 10 November 2006 (d) notwithstanding that the motion does not seek a stay, it would be an extraordinary result for security to be ordered without there being some consequence attached to a failure to provide it (e) if a more realistic timeframe is given for the provision of security, the trial ought not to commence until the expiry of that time. SECURITY FOR COSTS 9 The Court has discretion under s 56 of Federal Court of Australia Act 1976 (Cth) to order an applicant to a proceeding to give security for costs, and, if security or further security is not given in accordance with an order under this section, the Court may order that the proceeding be dismissed (s 56(4)). As pointed out by the Full Court in Bell Wholesale Co Pty Ltd v Gates Export Corporation (1984) 2 FCR 1 the discretion to make orders under s 56 must be exercised judicially, but that is the only relevant limitation (at 3). Although O 28 r 3 sets out matters the Court may take into account in considering an application for security for costs, this is not an exhaustive statement of the cases in which an order for security for costs can be made ( Bell Wholesale at 3). THE CASE BEFORE ME 10 In my view in the case before me, relevant factors to take into consideration are as follows: 1. The fact that the Full Court on 1 June 2006 has previously ordered the applicants to pay security for costs in this matter, following broad agreement that the amount of $150 000 would be appropriate security for the costs of the respondent parties to the primary proceeding at the end of the first day of the trial ( Sunstate Orchards Pty Ltd v Citrus Queensland Pty Ltd [2006] FCAFC 93 at [5] ). 2. I note the submissions of Mr McQuade that there is no evidence that the security would frustrate the litigation or that those who stand behind the companies and who stand to benefit from litigation are also without means. In Bell Wholesale , the Full Court emphasised that it is for the party against whom security is sought to show the impecuniosity of those who stand behind the company or who will benefit from litigation. Although Mr Perry submitted that it would not be possible for the second applicant, who presumably will be funding the security for costs, to satisfy an order by tomorrow afternoon, there is no indication that the second applicant is impecunious or would be unable at all to satisfy an order by a later date. However: 3. The amount sought by way of security is substantial, namely $87 832, which, if I make the orders sought by the respondents, would need to be paid by tomorrow afternoon. This is a substantial sum to be raised and paid on such short notice. 4. The notice of motion has been filed in extreme proximity to the commencement of the trial without explanation. Indeed, the notice of motion was filed last Friday, mentioned on Monday and heard today in respect of an application for security for costs to be paid by tomorrow before a trial commences on Monday next. The fact that I can make reference to these days without dates illustrates the extreme tightness of the timing in the case before me. I note a similar matter which came before Toohey J in James v Australia and New Zealand Banking Group Ltd (1985) 9 FCR 442 when an application for security for costs was made one month before the commencement of the trial. His Honour said in that case: 'It is well established that an application for security for costs should be made promptly... The matter is now so close to a hearing and so much time and costs have been expended that it would be a grave injustice to the applicants if they were ordered to provide security for costs when it is apparent that they cannot comply with such an order.' (at 446) 5. The November trial date of this matter has been known by all parties since late July 2006. At the directions hearing of 28 July 2006 I indicated to the parties the importance of compliance with Court directions in this matter and the need to be prepared for trial in November. As pointed out recently by Jessup J in Acohs Pty L Ltd v Ucorp Pty Ltd &amp; Ors [2006] FCA 1279 at [61] - [63] , citing authorities including Buckley v Bennell Design and Constructions Pty Ltd (1974) 1 ACLR 301 at 308, it is an accepted principle in the ordering of security for costs that such an application should be made promptly. Although I know that the respondents did not file an application for security for costs until after it was clear that a mediated settlement of this matter would not take place, the success or otherwise of the mediation would not have prevented the respondents applying at an earlier date for security for costs of the trial, particularly if payment was sought to be made after the date by which medication was ordered to take place. While I note that the respondents had earlier sought and obtained an order for security for pre-trial costs, no satisfactory explanation has been provided as to why an application for security for trial costs has been brought on what is, in effect, the eve of the trial. 6. There have already been other significant delays in this matter in such respects as the hearing of the trial itself (adjourned from July 2006 to November 2006) and mediation of the matter (orders for which were made on 9 August 2006 for the mediation to take place by no later than 20 October 2006, but which did not occur until 2 November 2006). Obviously, as pointed out by the High Court in State of Queensland v JL Holdings Pty Ltd [1997] HCA 1 ; (1997) 189 CLR 146, issues of case management do not take precedence over issues of justice. However, the fact that this case has already been characterised by significant delays is undesirable from the perspective of the parties and the Court, and there is an obvious risk that an order for security for costs which proves unrealistic for the applicants to comply with would delay the trial even further. 7. The respondents have sought no consequences as part of an order such as a stay in the event that security for costs are not paid before the commencement of the trial. As observed by Toohey J in James : 'Despite the submission of counsel for the first respondent, an order by way of security without a corresponding stay would be, in reality, no order at all, for no sanction would attach to non-compliance.' (at 446) 8. Although I said earlier in this judgment there is no evidence that the security would frustrate the litigation or that those who stand behind the companies and who stand to benefit from litigation are also without means, in cases where similar submissions have been successful (for example in Checked-Out Pty Ltd v Eagle Eye Inspections Pty Ltd [2001] FCA 1475 at [26] ) there were also no clear issues of delay or proximity to the hearing date as there are in this case. The issue here is not that there is a suggestion of impecuniosity of the second applicant, it is whether the delay in bringing the application for security for costs and the proximity of this application to the trial date militate against the exercise of my discretion to grant an order for security for costs in this case. 11 In my view, notwithstanding that the applicants have been ordered at an earlier date to pay security for pre-trial costs, the delays and the proximity to the hearing date of this application for trial costs in my view weigh against the exercise of a discretion in favour of the respondents in relation to this notice of motion.",Legal Documents,,,
"The current position is that the Full Court on Thursday 1 June 2006 ordered that the first and third applicant provide security for the costs of the first and second respondent of the proceeding up to the end of the first day of the trial in the amount of $150 000 by way of unconditional bank guarantee in that sum or otherwise to the satisfaction of the District Registrar of the Queensland District Registry of the Court: Sunstate Orchards Pty Ltd v Citrus Queensland Pty Ltd [2006] FCAFC 93. I understand that security for costs was provided on Thursday 22 June 2006. 6 For the purposes of this judgment, I shall assume that the costs order of the Full Court was exhausted on Monday 17 July 2006 which was the first day of the trial, subsequently adjourned. 7 In his written submissions supplemented by oral submissions this morning in Court, Mr McQuade for the respondents submitted in summary as follows: 1. The sum sought by way of security for costs is referrable to the estimate of Mr James McLellan in his affidavit sworn 23 March 2006 and filed 27 March 2006. 2. Otherwise, the respondents rely on submissions and material previously before this Court and the Full Court. 3. The financial position of the first and third applicants is unchanged from April 2006. 4. There is no evidence that security would frustrate litigation and no evidence that those who stand behind the companies and who stand to benefit from litigation are also without means. 5. The onus is on the first and second applicants to raise impecuniosity of those whom litigation would benefit and to prove the facts upon which a contention is founded. 6. The trial will take two weeks. The parties are proposing to call 15 witnesses. 7. The respondents have not adduced any evidence that would weigh against an order for security. 8. There is evidence that the second applicant had an expectation of obtaining further funds to provide by way of security for costs. 9. There has been no delay by the respondents as to the notice of motion for security for costs. It was filed the day following an unsuccessful mediation between the parties. 11. No stay is sought if the first and third applicants fail to provide the security. Rather, if I were to order that security be provided, the applicants contend that the notice of motion should be adjourned to the day after the security is required to be provided, or later in the day upon which the security is required to allow the respondents to make further submissions regarding any further orders, which may be appropriate if that security is not provided. SUBMISSIONS OF THE APPLICANTS 8 In response, Mr Perry on behalf of the applicants has submitted, in essence: 1. Neither the first nor the third applicant has sufficient assets to meet any potential costs order, nor are they able to satisfy any order for security for costs. Accordingly the threshold for the making of an order has been established consistently with the decision of the Full Court in these proceedings. 2. However the question before the Court is whether the Court should exercise its discretion in this matter, and the key issue in relation to the exercise of discretion is the delay in serving the notice of motion for the security for costs on the applicants. In particular: (a) the notice was served on Friday 3 November 2006, and no notice had been given previously as to an intention to bring such an application (b) the impact of the delay is to be considered in a relative way, that is by considering its potential impact upon the hearing itself (c) if an order is to be made it cannot be satisfied by 4.00 pm Friday 10 November 2006 (d) notwithstanding that the motion does not seek a stay, it would be an extraordinary result for security to be ordered without there being some consequence attached to a failure to provide it (e) if a more realistic timeframe is given for the provision of security, the trial ought not to commence until the expiry of that time. SECURITY FOR COSTS 9 The Court has discretion under s 56 of Federal Court of Australia Act 1976 (Cth) to order an applicant to a proceeding to give security for costs, and, if security or further security is not given in accordance with an order under this section, the Court may order that the proceeding be dismissed (s 56(4)). As pointed out by the Full Court in Bell Wholesale Co Pty Ltd v Gates Export Corporation (1984) 2 FCR 1 the discretion to make orders under s 56 must be exercised judicially, but that is the only relevant limitation (at 3). Although O 28 r 3 sets out matters the Court may take into account in considering an application for security for costs, this is not an exhaustive statement of the cases in which an order for security for costs can be made ( Bell Wholesale at 3). THE CASE BEFORE ME 10 In my view in the case before me, relevant factors to take into consideration are as follows: 1. The fact that the Full Court on 1 June 2006 has previously ordered the applicants to pay security for costs in this matter, following broad agreement that the amount of $150 000 would be appropriate security for the costs of the respondent parties to the primary proceeding at the end of the first day of the trial ( Sunstate Orchards Pty Ltd v Citrus Queensland Pty Ltd [2006] FCAFC 93 at [5] ). 2. I note the submissions of Mr McQuade that there is no evidence that the security would frustrate the litigation or that those who stand behind the companies and who stand to benefit from litigation are also without means. In Bell Wholesale , the Full Court emphasised that it is for the party against whom security is sought to show the impecuniosity of those who stand behind the company or who will benefit from litigation. Although Mr Perry submitted that it would not be possible for the second applicant, who presumably will be funding the security for costs, to satisfy an order by tomorrow afternoon, there is no indication that the second applicant is impecunious or would be unable at all to satisfy an order by a later date. However: 3. The amount sought by way of security is substantial, namely $87 832, which, if I make the orders sought by the respondents, would need to be paid by tomorrow afternoon. This is a substantial sum to be raised and paid on such short notice. 4. The notice of motion has been filed in extreme proximity to the commencement of the trial without explanation. Indeed, the notice of motion was filed last Friday, mentioned on Monday and heard today in respect of an application for security for costs to be paid by tomorrow before a trial commences on Monday next. The fact that I can make reference to these days without dates illustrates the extreme tightness of the timing in the case before me. I note a similar matter which came before Toohey J in James v Australia and New Zealand Banking Group Ltd (1985) 9 FCR 442 when an application for security for costs was made one month before the commencement of the trial. His Honour said in that case: 'It is well established that an application for security for costs should be made promptly... The matter is now so close to a hearing and so much time and costs have been expended that it would be a grave injustice to the applicants if they were ordered to provide security for costs when it is apparent that they cannot comply with such an order.' (at 446) 5. The November trial date of this matter has been known by all parties since late July 2006. At the directions hearing of 28 July 2006 I indicated to the parties the importance of compliance with Court directions in this matter and the need to be prepared for trial in November. As pointed out recently by Jessup J in Acohs Pty L Ltd v Ucorp Pty Ltd &amp; Ors [2006] FCA 1279 at [61] - [63] , citing authorities including Buckley v Bennell Design and Constructions Pty Ltd (1974) 1 ACLR 301 at 308, it is an accepted principle in the ordering of security for costs that such an application should be made promptly. Although I know that the respondents did not file an application for security for costs until after it was clear that a mediated settlement of this matter would not take place, the success or otherwise of the mediation would not have prevented the respondents applying at an earlier date for security for costs of the trial, particularly if payment was sought to be made after the date by which medication was ordered to take place. While I note that the respondents had earlier sought and obtained an order for security for pre-trial costs, no satisfactory explanation has been provided as to why an application for security for trial costs has been brought on what is, in effect, the eve of the trial. 6. There have already been other significant delays in this matter in such respects as the hearing of the trial itself (adjourned from July 2006 to November 2006) and mediation of the matter (orders for which were made on 9 August 2006 for the mediation to take place by no later than 20 October 2006, but which did not occur until 2 November 2006). Obviously, as pointed out by the High Court in State of Queensland v JL Holdings Pty Ltd [1997] HCA 1 ; (1997) 189 CLR 146, issues of case management do not take precedence over issues of justice. However, the fact that this case has already been characterised by significant delays is undesirable from the perspective of the parties and the Court, and there is an obvious risk that an order for security for costs which proves unrealistic for the applicants to comply with would delay the trial even further. 7. The respondents have sought no consequences as part of an order such as a stay in the event that security for costs are not paid before the commencement of the trial. As observed by Toohey J in James : 'Despite the submission of counsel for the first respondent, an order by way of security without a corresponding stay would be, in reality, no order at all, for no sanction would attach to non-compliance.' (at 446) 8. Although I said earlier in this judgment there is no evidence that the security would frustrate the litigation or that those who stand behind the companies and who stand to benefit from litigation are also without means, in cases where similar submissions have been successful (for example in Checked-Out Pty Ltd v Eagle Eye Inspections Pty Ltd [2001] FCA 1475 at [26] ) there were also no clear issues of delay or proximity to the hearing date as there are in this case. The issue here is not that there is a suggestion of impecuniosity of the second applicant, it is whether the delay in bringing the application for security for costs and the proximity of this application to the trial date militate against the exercise of my discretion to grant an order for security for costs in this case. 11 In my view, notwithstanding that the applicants have been ordered at an earlier date to pay security for pre-trial costs, the delays and the proximity to the hearing date of this application for trial costs in my view weigh against the exercise of a discretion in favour of the respondents in relation to this notice of motion.",Legal Documents,,,
"First, in my opinion, to relitigate the events of 27 March 2006 is an abuse of process and the pursuit of the claim for unlawful discrimination would involve a relitigation of the events of 27 March 2006. The Court has a wide jurisdiction to protect a party from an abuse of process constituted by an attempt to relitigate a case already disposed of: Walton v Gardiner [1993] HCA 77 ; (1993) 177 CLR 378 at 392-393 per Mason CJ, Deane and Dawson JJ. It seems clear on the authorities that a proceeding may constitute an abuse of process because it involves an attempt to relitigate a dispute already judicially determined even though none of the doctrines of res judicata , issue estoppel in the strict sense or an Anshun estoppel are made out: Coffey v Secretary, Department of Social Security [1999] FCA 375 ; (1999) 86 FCR 434 at 443 [25] ; Spalla v St George Motor Finance Ltd (No 6) [2004] FCA 1699 at [58] - [70] per French J; SZAJB v Minister for Immigration and Citizenship (2008) 168 FCR 410 at 423 [37]-[39] per French J (with whom Tracey J agreed at 437 [114]); Brock v Minister for Home Affairs (2008) 170 FCR 434 at 447 [74] per Lindgren and Tracey JJ. The claim for unlawful discrimination represents an attempt to relitigate the events of 27 March 2006 and is an abuse of process. I am mindful of the fact that, as events transpired, the claim for unlawful discrimination could not have been brought in the earlier proceeding, but that does not dissuade me from reaching the conclusion that I have expressed. The fact is that it was the applicant who decided to institute the earlier proceeding the day after the relevant events, to lodge his complaint with the Commission about three weeks after the relevant events, and to wait until 14 July 2006 before advising the Court that he had lodged a complaint with the Commission.",Legal Documents,,,
